FORMULARIO,CODIGO_ACCIDENTE,FECHA,CODIGO_VICTIMA,CODIGO_VEHICULO,TIPO_ACTOR,ESTADO,GENERO,EDAD,GRAVEDAD,CLASE_SINIESTRO,DIRECCION,LONGITUD,LATITUD,CODIGO_LOCALIDAD,TOTAL_HERIDOS,TOTAL_MUERTOS,MOD_VEHICULO,CLASE_VEHICULO,SERVICIO_VEHICULO,CODIGO_CAUSA
A001296696,10537096,02/04/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,23.0,2,1,TV 47 A - CL 76 S 73,-74.167629405,4.57242553200001,19,2.0,,2016.0,10.0,3.0,104
A001238381,10535850,17/03/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,27.0,2,1,CL 42 - KR 99 A 02,-74.177197424,4.64778526200007,8,2.0,,2011.0,1.0,2.0,121
A001454461,10574505,23/06/22,1,2.0,CONDUCTOR,ILESO,MASCULINO,56.0,2,1,CL 12  - KR 42 A  02,-74.103,4.621,16,1.0,,2008.0,4.0,2.0,105
A001185478,10526447,11/11/20,0,1.0,CONDUCTOR,ILESO,FEMENINO,32.0,2,1,AV AVENIDA CARACAS-CL 65 02,0.0,0.0,2,1.0,0.0,2004.0,6.0,3.0,121
A001452720,10573499,13/06/22,0,1.0,CONDUCTOR,ILESO,FEMENINO,35.0,2,1,KR 26  - CL 1 B  02,-74.101,4.595,14,1.0,,2020.0,6.0,2.0,142
A001393698,10564185,24/02/22,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,39.0,2,1,CL 80  - KR 64   02,-74.077679353,4.681996476,12,1.0,,2010.0,10.0,3.0,121
A001347863,10555136,11/11/21,1,2.0,CONDUCTOR,,,,2,1,CL 45 A  S- KR 51 D  02,-74.134339075,4.59398876199998,16,1.0,,,0.0,0.0,121
A001387797,10558492,14/12/21,1,2.0,CICLISTA,HERIDO,FEMENINO,45.0,2,1,CL 62  S- KR 82 H  6,-74.187911121,4.61631415800002,7,1.0,,,13.0,0.0,143
A001390310,10560862,18/01/22,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,30.0,2,1,AV AVENIDA CIUDAD DE CALI - CL 62  S 02,-74.189,4.618,7,3.0,,2014.0,10.0,3.0,142
A001512684,10579247,24/08/22,0,1.0,CONDUCTOR,HERIDO,MASCULINO,21.0,1,2,KR 1 A  - CL 41  S 02,-74.098346107,4.55153550599999,18,1.0,1.0,2022.0,5.0,2.0,157
A001449192,10569953,01/05/22,3,,PEATON,HERIDO,MASCULINO,10.0,2,2,KR 27 A  - CL 71 I BIS S 02,-74.16,4.55,19,4.0,,,,,157
A001348432,10560780,16/01/22,1,2.0,CONDUCTOR,ILESO,MASCULINO,33.0,2,1,KR 14  - CL 72   02,-74.061,4.659,2,1.0,,2012.0,1.0,3.0,142
A001393636,10564786,04/03/22,0,1.0,MOTOCICLISTA,MUERTO,MASCULINO,18.0,1,1,TV 5 A  - CL 48 I BIS S 02,-74.108,4.557,18,2.0,1.0,2016.0,10.0,3.0,121
A001237538,10533592,18/02/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,21.0,1,1,AU NORTE - CL 170  02,-74.046355337,4.75148929700003,1,1.0,1.0,2012.0,10.0,3.0,139
A001240499,10533646,19/02/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,46.0,2,1,CL 145 - KR 111  02,-74.100411788,4.74883899000002,11,1.0,,2007.0,1.0,2.0,102
A001347902,10555133,11/11/21,3,1.0,ACOMPANANTE,HERIDO,FEMENINO,29.0,2,1,TV 78 K  - CL 41 BIS S 02,-74.156627038,4.620077449,8,4.0,,2017.0,10.0,3.0,121
A001388842,10559561,25/12/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,25.0,2,2,CL 39 F  S- KR 72 F  02,-74.142799686,4.60521456999999,8,2.0,,2021.0,10.0,3.0,139
A001341103,10548189,29/08/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,44.0,2,4,AV AVENIDA CIUDAD DE CALI - CL 6 C  02,-74.1540388459435,4.64269355456492,8,1.0,,2012.0,2.0,2.0,119
A001395352,10566383,19/03/22,1,2.0,CICLISTA,HERIDO,MASCULINO,32.0,2,1,CL 80  - KR 90   02,-74.104,4.704,10,1.0,,,13.0,0.0,127
A001347706,10554515,06/11/21,1,2.0,CONDUCTOR,HERIDO,MASCULINO,34.0,2,2,KR 94  - CL 75 C  02,-74.109121407,4.70438913200002,10,3.0,,2015.0,1.0,3.0,114
A001342072,10549670,15/09/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,24.0,1,2,KR 13  - CL 14   02,-74.07842095,4.60383080000003,3,1.0,1.0,2020.0,10.0,3.0,142
A001232660,10526555,12/11/20,0,1.0,CONDUCTOR,HERIDO,MASCULINO,48.0,2,1,KR 24-CL 55 S 02,0.0,0.0,6,2.0,0.0,1987.0,1.0,3.0,123
A001394113,10565762,14/03/22,2,2.0,PASAJERO,HERIDO,FEMENINO,7.0,2,1,KR 104  - CL 82   02,-74.113,4.717,10,2.0,,,13.0,0.0,90
A001341512,10548686,03/09/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,48.0,2,2,KR 92  - CL 150   70,-74.084564018,4.74605096200003,11,1.0,,2014.0,1.0,2.0,157
A001348251,10555141,11/11/21,1,,PEATON,HERIDO,FEMENINO,38.0,2,2,CL 63  - KR 9 BIS  02,-74.061,4.649,2,4.0,,,,,157
A001301946,10542848,26/06/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,44.0,1,1,AV AVENIDA CARACAS - CL 22   02,-74.0753429809999,4.61084202600006,14,2.0,1.0,2012.0,6.0,3.0,142
A001348381,10555169,12/11/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,21.0,2,1,CL 80  - KR 104   02,-74.11612352,4.71407369899998,10,2.0,,2005.0,7.0,2.0,157
A001447527,10568076,07/04/22,1,2.0,MOTOCICLISTA,HERIDO,FEMENINO,24.0,2,1,CL 75  - KR 28 A  02,-74.069,4.668,12,1.0,,2017.0,10.0,3.0,112
A001235088,10528893,11/12/20,1,,PEATON,HERIDO,MASCULINO,48.0,2,2,CL 72C-KR 112F 02,0.0,0.0,10,1.0,0.0,,,,0
A001182900,10522892,08/10/20,0,3.0,CICLISTA,HERIDO,MASCULINO,30.0,2,1,CL 80-KR 72 02,0.0,0.0,10,1.0,0.0,,13.0,,99
A001456128,10576839,25/07/22,2,2.0,ACOMPANANTE,MUERTO,FEMENINO,33.0,1,1,CL 17  - KR 82   02,-74.135,4.658,9,1.0,1.0,2021.0,10.0,3.0,157
A001514005,10580761,14/09/22,0,1.0,CONDUCTOR,HERIDO,MASCULINO,23.0,2,1,CL 144  - KR 118   60,-74.1068213033,4.7506352865,11,2.0,,2021.0,1.0,3.0,127
A001345468,10552647,16/10/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,35.0,2,2,CL 71 A  S- KR 81 G  02,-74.194609698,4.61135801299997,7,1.0,,2014.0,2.0,2.0,411
A001240032,10532635,06/02/21,1,1.0,PASAJERO,HERIDO,FEMENINO,33.0,2,3,KR 95 A - CL 76 S 02,-74.206843277,4.629598398,7,2.0,,,13.0,0.0,217
A001303476,10540909,30/05/21,0,1.0,CONDUCTOR,HERIDO,MASCULINO,30.0,2,2,CL 34  S- KR 5 A  02,-74.09999347,4.564017611,4,2.0,,2006.0,1.0,3.0,157
A001299070,10539320,07/05/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,21.0,2,1,KR 78 K - CL 26 S 02,-74.150135361,4.627432892,8,1.0,,2018.0,10.0,3.0,122
A001390582,10560957,19/01/22,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,23.0,2,1,CL 96 A  - KR 12  S 02,-74.116025114,4.50066018000001,5,2.0,,2021.0,10.0,3.0,127
A001304208,10545452,28/07/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,45.0,2,4,AV AVENIDA CARACAS - CL 45  S 02,-74.1238337169047,4.57313158762321,18,1.0,,2019.0,2.0,2.0,157
A001238204,10536157,19/03/21,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,31.0,2,1,CL 65 BIS S- KR 17 B 02,-74.138180551,4.55319182300002,19,2.0,,2015.0,10.0,3.0,112
A001183897,10523199,13/10/20,0,1.0,CONDUCTOR,ILESO,MASCULINO,44.0,2,2,KR 17G-CL 65 S 02,0.0,0.0,19,1.0,0.0,2011.0,1.0,2.0,404
A001449317,10570363,06/05/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,33.0,2,1,KR 29  - CL 75   02,-74.07,4.668,12,1.0,,1998.0,1.0,3.0,112
A001296341,10536366,24/03/21,7,2.0,PASAJERO,HERIDO,MASCULINO,17.0,2,1,CL 65 A S- KR 77 J 02,-74.185957757,4.59834115299998,7,11.0,,2015.0,2.0,2.0,157
A001237555,10534223,24/02/21,0,1.0,MOTOCICLISTA,ILESO,MASCULINO,39.0,1,4,KR 3 E- CL 22 D S 9,-74.0865449579999,4.56740773100006,4,,1.0,2020.0,10.0,3.0,157
A001513439,10580149,06/09/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,30.0,2,1,CL 13  - KR 81   02,-74.1336922207,4.65699128,9,1.0,,1981.0,4.0,2.0,157
A001510386,10576998,26/07/22,1,,PEATON,HERIDO,MASCULINO,80.0,2,2,CL 72  - KR 91   02,-74.11,4.699,10,2.0,,,,,157
A001387162,10558933,18/12/21,1,2.0,CICLISTA,HERIDO,FEMENINO,19.0,2,1,CL 80  - KR 72   02,-74.088954407,4.69550337599998,10,1.0,,,13.0,0.0,127
A001387200,10557554,04/12/21,1,,PEATON,HERIDO,FEMENINO,32.0,2,2,KR 10  - CL 2   02,-74.083425777,4.59117238200002,3,1.0,,,,,411
A001347186,10553979,31/10/21,1,,PEATON,HERIDO,FEMENINO,63.0,2,2,KR 14  - CL 28   02,-74.071471004,4.61758933200002,3,3.0,,,,,142
A001395619,10569004,22/04/22,1,1.0,ACOMPANANTE,HERIDO,FEMENINO,68.0,2,4,KR 24  - CL 35  S 02,-74.118,4.582,18,2.0,,2021.0,2.0,2.0,501
A001388096,10558642,16/12/21,10,1.0,PASAJERO,HERIDO,MASCULINO,52.0,1,1,KR 77 C  - CL 59  S 02,-74.181936299,4.59186743300006,19,28.0,2.0,2021.0,2.0,2.0,157
A001339507,10547114,18/08/21,0,1.0,MOTOCICLISTA,HERIDO,FEMENINO,61.0,2,1,KR 86  - CL 23 D  02,-74.126575917,4.67086317799999,9,3.0,,2013.0,10.0,3.0,121
A001301428,10542736,23/06/21,2,2.0,ACOMPANANTE,HERIDO,FEMENINO,20.0,2,1,CL 35  S- KR 7 A  02,-74.101555956,4.56457767500001,4,3.0,,2014.0,10.0,3.0,112
A001511445,10579504,29/08/22,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,23.0,2,1,CL 2 B  - KR 38 B  02,-74.1106605083,4.6087914606,16,2.0,,2019.0,10.0,3.0,139
A001184408,10524087,19/10/20,0,2.0,CICLISTA,HERIDO,MASCULINO,16.0,2,1,CL 65-KR 91 S 2,0.0,0.0,10,3.0,0.0,,13.0,,99
A001511273,10578426,14/08/22,1,2.0,CONDUCTOR,ILESO,,,2,1,KR 32 A  - CL 1 F  02,-74.106,4.602,16,1.0,,1979.0,4.0,3.0,127
A001388096,10558642,16/12/21,29,1.0,PASAJERO,HERIDO,MASCULINO,49.0,1,1,KR 77 C  - CL 59  S 02,-74.181936299,4.59186743300006,19,28.0,2.0,2021.0,2.0,2.0,157
A001390464,10560968,16/01/22,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,30.0,2,1,KR 78  - CL 7 C BIS  02,-74.1422729,4.637277761,8,1.0,,2021.0,10.0,3.0,104
A001387827,10559593,24/12/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,53.0,2,1,KR 100  - CL 137 A  02,-74.092649349,4.73825819199999,11,1.0,,2017.0,5.0,2.0,157
A001513364,10580069,04/09/22,2,1.0,PASAJERO,HERIDO,FEMENINO,13.0,2,1,KR 11  E- CL 54 A  S 02,-74.091,4.536,4,4.0,,2015.0,1.0,2.0,104
A001232826,10528031,29/11/20,0,3.0,CONDUCTOR,ILESO,MASCULINO,36.0,2,1,CL 37B-KR 68B S 02,0.0,0.0,8,3.0,0.0,2009.0,1.0,3.0,157
A001449275,10569708,30/04/22,2,3.0,MOTOCICLISTA,HERIDO,MASCULINO,21.0,2,1,KR 85  - CL 63 B  02,-74.112,4.682,10,2.0,,2018.0,10.0,3.0,121
A001184719,10525051,25/10/20,0,1.0,CONDUCTOR,HERIDO,FEMENINO,36.0,2,1,KR 79B-CL 54B 02,0.0,0.0,8,1.0,0.0,2009.0,1.0,3.0,0
A001514379,10581109,22/09/22,2,3.0,MOTOCICLISTA,MUERTO,MASCULINO,61.0,1,1,KR 68  - CL 38  S 02,-74.133,4.603,16,,1.0,2022.0,10.0,3.0,98
A001341828,10549979,18/09/21,1,2.0,MOTOCICLISTA,HERIDO,MASCULINO,24.0,2,1,CL 153  - KR 7 A  65,-74.025893036,4.72782502799998,1,2.0,,2015.0,10.0,3.0,122
A001232057,10525910,06/11/20,1,1.0,PASAJERO,HERIDO,MASCULINO,27.0,2,1,KR 86-CL 24 02,0.0,0.0,9,3.0,0.0,2018.0,10.0,1.0,157
A001237776,10535949,18/03/21,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,51.0,2,1,CL 61 S- KR 29  02,-74.149985412,4.56834745200001,19,1.0,,2021.0,10.0,3.0,121
A001183700,10522296,07/10/20,1,,PEATON,HERIDO,SIN INFORMACION,,1,2,CL 63-KR 13 02,0.0,0.0,2,0.0,1.0,,,,0
A001341871,10549006,06/09/21,0,1.0,CONDUCTOR,HERIDO,FEMENINO,46.0,2,1,TV 4  - CL 52 A  02,-74.061674533,4.63825823100001,2,3.0,,2019.0,5.0,3.0,127
A001515363,10581987,29/09/22,2,1.0,PASAJERO,HERIDO,FEMENINO,25.0,2,1,CL 35  S- KR 5 A  02,-74.101,4.563,4,2.0,,2019.0,10.0,3.0,112
A001449514,10569718,29/04/22,0,1.0,CONDUCTOR,ILESO,FEMENINO,43.0,2,1,KR 127  - CL 22 D  02,-74.156,4.695,9,1.0,,2014.0,1.0,3.0,102
A001348025,10555301,14/11/21,2,1.0,ACOMPANANTE,HERIDO,MASCULINO,22.0,2,1,KR 50  - CL 5 B  02,-74.110966092,4.62116522399998,16,4.0,,2003.0,1.0,3.0,114
A001299236,10539292,04/05/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,47.0,2,1,CL 26 - KR 102  02,-74.130207917,4.68949456399997,9,1.0,,2009.0,7.0,2.0,99
A001456045,10575976,13/07/22,0,1.0,MOTOCICLISTA,HERIDO,MASCULINO,33.0,2,1,CL 127  - KR 93 C  02,-74.096,4.721,11,2.0,,2011.0,10.0,3.0,121
A001515235,10581809,29/09/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,40.0,2,2,KR 7  - CL 186   02,-74.027,4.763,1,1.0,,2022.0,2.0,2.0,157
A001388089,10558529,15/12/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,30.0,2,2,KR 80 G  - CL 2   02,-74.155202378,4.63289485899998,8,1.0,,2014.0,2.0,2.0,409
A001343203,10550454,26/09/21,1,2.0,CONDUCTOR,ILESO,MASCULINO,51.0,2,1,AV AVENIDA BOYACA - CL 153   02,-74.065113277,4.74244495500005,1,2.0,,2005.0,1.0,2.0,116
A001452839,10572638,03/06/22,1,1.0,PASAJERO,HERIDO,FEMENINO,26.0,2,4,AV AVENIDA BOYACA - KR 24  S 02,-74.14,4.573,19,2.0,,2019.0,2.0,2.0,506
A001241592,10534951,06/03/21,0,1.0,CONDUCTOR,HERIDO,MASCULINO,28.0,2,1,KR 79 - CL 43 S 33,-74.164831325,4.61796128399999,8,6.0,,2013.0,1.0,2.0,103
A001345445,10552697,17/10/21,0,1.0,CONDUCTOR,ILESO,MASCULINO,64.0,1,1,KR 68  - CL 95   85,-74.07455849,4.68735442800005,12,,1.0,2014.0,2.0,2.0,98
A001235897,10530939,16/01/21,1,2.0,CONDUCTOR,ILESO,MASCULINO,29.0,2,1,AV AVENIDA BOYACA - KR 15  02,-74.1220403999999,4.51208431000003,19,2.0,,2013.0,8.0,2.0,157
A001232456,10526400,10/11/20,1,,PEATON,HERIDO,MASCULINO,66.0,2,2,CL 134-KR 46 02,0.0,0.0,11,2.0,0.0,,,,0
A001387700,10558481,14/12/21,1,,PEATON,MUERTO,MASCULINO,90.0,1,2,KR 21  - CL 31  S 02,-74.111948395,4.58016342200006,18,,1.0,,,,122
A001452326,10572025,27/05/22,1,1.0,ACOMPANANTE,HERIDO,FEMENINO,18.0,2,2,CL 63  - KR 35   02,-74.079,4.652,13,3.0,,2022.0,10.0,3.0,157
A001390324,10561339,22/01/22,2,2.0,ACOMPANANTE,HERIDO,MASCULINO,35.0,2,1,CL 72  - KR 74   02,-74.097,4.689,10,3.0,,2020.0,10.0,3.0,122
A001510387,10577861,07/08/22,0,1.0,CONDUCTOR,ILESO,MASCULINO,45.0,2,1,CL 68  S- KR 77 I  02,-74.189,4.598,7,1.0,,1996.0,1.0,3.0,112
A001347705,10554511,06/11/21,1,2.0,CONDUCTOR,,,,1,1,AV AVENIDA DE LAS AMERICAS - KR 62   84,-74.1185562209999,4.62884877500005,16,1.0,1.0,,0.0,0.0,157
